# {"index_dir": "index/v4_pileval_gpt2", "dtype": "u16", "eos": 50256, "vocab": 50257, "version": 4, "lengths": [1, 2, 3, 4, 5, 6, 8, 10, 12, 16], "buckets": [{"name": "ultra_rare", "min": 1, "max": 1}, {"name": "rare", "min": 2, "max": 5}, {"name": "low", "min": 6, "max": 20}, {"name": "mid", "min": 21, "max": 100}, {"name": "high", "min": 101, "max": 1000}, {"name": "very_high", "min": 1001}], "per_bucket": 20, "max_docs": 2000, "max_doc_len": 4000}
high 1 241 39075
very_high 1 2068 11339
very_high 1 10757 3071
very_high 1 1525937 25
very_high 1 1090 11634
very_high 1 45800 328
very_high 1 3675 9536
very_high 1 19829 756
very_high 1 11640 3848
very_high 1 1664104 329
very_high 1 4170 6130
very_high 1 1330755 351
very_high 1 4990 8602
high 1 869 26372
very_high 1 8185 9478
very_high 1 25469 2534
very_high 1 16984 3426
very_high 1 17836 2177
very_high 1 2811 19809
high 1 348 34440
high 1 240 33859
very_high 1 3250 10404
very_high 1 2394 8536
very_high 1 13545838 198
high 1 234 37822
high 1 151 40680
high 1 941 16445
high 1 520 45355
high 1 350 31066
high 1 861 18029
high 1 594 38175
high 1 244 39894
high 1 762 22623
high 1 253 43083
high 1 817 47691
high 1 161 34100
high 1 884 24073
high 1 699 32433
high 1 306 9982
high 1 953 2249
high 10 290 1479 3788 25 345 460 17678 4163 340 290 14
high 12 290 318 1479 3788 25 345 460 17678 4163 340 290 14 273
high 12 281 1479 3788 25 345 460 17678 4163 340 290 14 273 13096
high 12 220 3788 25 345 460 17678 4163 340 290 14 273 13096 198
high 12 182 262 3232 10442 5693 11 2035 2196 513 286 262 13789 11
high 12 197 3232 10442 5693 11 2035 2196 513 286 262 13789 11 393
high 12 175 10442 5693 11 2035 2196 513 286 262 13789 11 393 198
high 12 665 318 9387 287 262 2911 326 340 481 307 4465 11 198
high 12 129 220 220 475 42881 15529 34764 56 26 1231 772 262 17142
high 12 202 220 475 42881 15529 34764 56 26 1231 772 262 17142 18215
very_high 12 25357 11 198 220 220 220 220 220 220 220 220 220 220
high 16 134 220 220 34482 3398 1565 5603 25382 393 376 46144 7473 317 16652 2149 37232 33079
high 16 220 220 34482 3398 1565 5603 25382 393 376 46144 7473 317 16652 2149 37232 33079 48933
high 16 759 34482 3398 1565 5603 25382 393 376 46144 7473 317 16652 2149 37232 33079 48933 13
high 16 289 1002 407 11 766 1279 4023 1378 2503 13 41791 13 2398 14 677 4541 15913
high 16 299 407 11 766 1279 4023 1378 2503 13 41791 13 2398 14 677 4541 15913 13
high 16 261 11 766 1279 4023 1378 2503 13 41791 13 2398 14 677 4541 15913 13 198
very_high 16 18333 11 198 220 220 220 220 220 220 220 220 220 220 220 220 220 220
very_high 16 278213 198 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220
very_high 16 9251861 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220
very_high 16 1411 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 1500
high 16 177 220 220 220 220 220 220 220 220 220 220 220 220 220 220 1500 14367
high 16 178 220 220 220 220 220 220 220 220 220 220 220 220 220 1500 14367 3712
very_high 16 5607 1 198 220 220 220 220 220 220 220 220 220 220 220 220 220 220
high 16 120 220 220 220 220 220 220 220 220 220 220 220 1875 198 220 220 220
high 16 113 220 220 220 220 220 220 220 220 220 220 1875 198 220 220 220 220
high 16 140 220 220 220 220 220 220 220 220 220 1875 198 220 220 220 220 220
mid 1 97 43823
low 1 16 46086
very_high 16 1455 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 1367
very_high 16 2535 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 767
very_high 16 3033 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 718
very_high 16 3625 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 642
mid 1 76 27802
mid 1 97 39415
mid 1 87 20480
mid 1 98 42486
mid 1 74 26104
mid 1 39 45988
mid 1 100 40247
mid 1 98 33012
mid 1 54 30369
mid 1 86 47121
mid 1 39 18706
mid 1 100 39031
mid 1 62 49892
low 1 15 40670
mid 1 21 5785
mid 1 99 36914
mid 1 49 18670
mid 1 85 46986
rare 1 3 32917
low 1 12 18679
low 1 19 44952
rare 1 4 37545
low 1 13 3523
low 1 16 43298
low 1 10 44326
low 1 19 39737
low 1 20 45640
low 1 20 30667
low 1 19 22273
low 1 17 40822
